trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.9669582105753931}",20,9,-22.953509656637202,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.9661849533510629}",20,0,-130.33410957857387,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.9654123144851359}",25,0,-94.5752556472668,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.9646402934831231}",25,0,-62.157635282786735,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.9638688898509309}",25,18,-9.883918162983546,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.9630981030948612}",30,0,-68.55815795225033,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.4, 'e': 0.9623279327216104}",30,0,-282.07956542709616,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
49,False,"{'a': 0.4, 'e': 0.9615583782382694}",25,0,-215.69418020625216,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
50,False,"{'a': 0.4, 'e': 0.9607894391523232}",20,10,-46.492331651209774,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.4, 'e': 0.9600211149716509}",30,0,-184.46632596002996,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
52,False,"{'a': 0.4, 'e': 0.959253405204525}",30,10,-68.4348933926967,"{0: 15, 1: 0, 2: 1, 3: 4, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.9584863093596111}",20,0,-104.405245598436,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.9577198269459679}",20,0,-32.593832636092756,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.4, 'e': 0.9569539574730467}",20,0,-119.04047294958501,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9561887004506909}",25,0,-184.3082358862647,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
57,False,"{'a': 0.4, 'e': 0.955424055389136}",35,0,-211.24303732489682,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 4}",0
58,False,"{'a': 0.4, 'e': 0.9546600217990092}",30,15,-18.692477888408206,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.953896599191329}",25,9,-113.29604761416836,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 2}",1
60,False,"{'a': 0.4, 'e': 0.9531337870775047}",20,0,-77.08792447107037,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.9523715849693368}",20,0,-57.958319820184116,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.4, 'e': 0.9516099923790157}",20,0,-122.47500854836957,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
